knot,p,q,Ord,Ordv_pq,Result
K11a55,2,23,1,2,False
K11a56,2,11,1,2,False
K11a56,2,13,1,2,False
K11a56,2,15,1,2,False
K11a56,2,17,1,2,False
K11a56,2,19,1,2,False
K11a57,2,15,1,2,False
K11a57,2,17,1,2,False
K11a57,2,19,1,2,False
K11a57,2,21,1,2,False
K11a57,2,23,1,2,False
K11a58,2,11,1,2,False
K11a58,2,13,1,2,False
K11a58,2,15,1,2,False
K11a58,2,17,1,2,False
K11a58,2,19,1,2,False
K11a59,2,7,1,3,True
K11a59,2,9,1,3,True
K11a59,2,11,1,3,True
K11a59,2,13,1,3,True
K11a59,2,15,1,3,True
K11a60,2,11,1,3,True
K11a60,2,13,1,3,True
K11a60,2,15,1,3,True
K11a60,2,17,1,3,True
K11a60,2,19,1,3,True
K11a61,2,7,1,3,True
K11a61,2,9,1,3,True
K11a61,2,11,1,3,True
K11a61,2,13,1,3,True
K11a61,2,15,1,3,True
K11a62,2,15,1,3,True
K11a62,2,17,1,3,True
K11a62,2,19,1,3,True
K11a62,2,21,1,3,True
K11a62,2,23,1,3,True
K11a63,2,11,1,3,True
K11a63,2,13,1,3,True
K11a63,2,15,1,3,True
K11a63,2,17,1,3,True
K11a63,2,19,1,3,True
K11a64,2,11,1,3,True
K11a64,2,13,1,3,True
K11a64,2,15,1,3,True
K11a64,2,17,1,3,True
K11a64,2,19,1,3,True
K11a65,2,7,1,2,False
K11a65,2,9,1,2,False
K11a65,2,11,1,2,False
K11a65,2,13,1,2,False
K11a65,2,15,1,2,False
K11a66,2,15,1,2,False
K11a66,2,17,1,2,False
K11a66,2,19,1,2,False
K11a66,2,21,1,2,False
K11a66,2,23,1,2,False
K11a67,2,11,1,2,False
K11a67,2,13,1,2,False
K11a67,2,15,1,2,False
K11a67,2,17,1,2,False
K11a67,2,19,1,2,False
K11a68,2,15,1,3,True
K11a68,2,17,1,3,True
K11a68,2,19,1,3,True
K11a68,2,21,1,3,True
K11a68,2,23,1,3,True
K11a69,2,11,1,2,False
K11a69,2,13,1,2,False
K11a69,2,15,1,2,False
K11a69,2,17,1,2,False
K11a69,2,19,1,2,False
K11a70,2,11,1,3,True
K11a70,2,13,1,3,True
K11a70,2,15,1,3,True
K11a70,2,17,1,3,True
K11a70,2,19,1,3,True
K11a71,2,15,1,3,True
K11a71,2,17,1,3,True
K11a71,2,19,1,3,True
K11a71,2,21,1,3,True
K11a71,2,23,1,3,True
K11a72,2,15,1,2,False
K11a72,2,17,1,2,False
K11a72,2,19,1,2,False
K11a72,2,21,1,2,False
K11a72,2,23,1,2,False
K11a73,2,15,1,2,False
K11a73,2,17,1,2,False
K11a73,2,19,1,2,False
K11a73,2,21,1,2,False
K11a73,2,23,1,2,False
K11a74,2,15,1,3,True
K11a74,2,17,1,3,True
K11a74,2,19,1,3,True
K11a74,2,21,1,3,True
K11a74,2,23,1,3,True
K11a75,2,11,1,3,True
K11a75,2,13,1,3,True
K11a75,2,15,1,3,True
K11a75,2,17,1,3,True
K11a75,2,19,1,3,True
K11a76,2,15,1,2,False
K11a76,2,17,1,2,False
K11a76,2,19,1,2,False
K11a76,2,21,1,2,False
K11a76,2,23,1,2,False
K11a77,2,11,1,2,False
K11a77,2,13,1,2,False
K11a77,2,15,1,2,False
K11a77,2,17,1,2,False
K11a77,2,19,1,2,False
K11a78,2,11,1,3,True
K11a78,2,13,1,3,True
K11a78,2,15,1,3,True
K11a78,2,17,1,3,True
K11a78,2,19,1,3,True
K11a79,2,15,1,2,False
K11a79,2,17,1,2,False
K11a79,2,19,1,2,False
K11a79,2,21,1,2,False
K11a79,2,23,1,2,False
K11a80,2,15,1,2,False
K11a80,2,17,1,2,False
K11a80,2,19,1,2,False
K11a80,2,21,1,2,False
K11a80,2,23,1,2,False
K11a81,2,15,1,3,True
K11a81,2,17,1,3,True
K11a81,2,19,1,3,True
K11a81,2,21,1,3,True
K11a81,2,23,1,3,True
K11a82,2,15,1,2,False
K11a82,2,17,1,2,False
K11a82,2,19,1,2,False
K11a82,2,21,1,2,False
K11a82,2,23,1,2,False
