Name,Genus-3D,L-space
12a_568,3,No
12a_569,4,No
12a_570,3,No
12a_571,4,No
12a_572,4,No
12a_573,4,No
12a_574,4,No
12a_575,3,No
12a_576,5,No
12a_577,4,No
12a_578,4,No
12a_579,4,No
12a_580,4,No
12a_581,3,No
12a_582,3,No
12a_583,4,No
12a_584,4,No
12a_585,3,No
12a_586,3,No
12a_587,4,No
12a_588,4,No
12a_589,4,No
12a_590,4,No
12a_591,3,No
12a_592,3,No
12a_593,3,No
12a_594,3,No
12a_595,3,No
12a_596,2,No
12a_597,3,No
12a_598,4,No
12a_599,4,No
12a_600,3,No
12a_601,2,No
12a_602,4,No
12a_603,3,No
12a_604,3,No
12a_605,4,No
12a_606,3,No
12a_607,4,No
12a_608,3,No
12a_609,3,No
12a_610,2,No
12a_611,3,No
12a_612,3,No
12a_613,3,No
12a_614,3,No
12a_615,3,No
12a_616,4,No
12a_617,4,No
12a_618,4,No
12a_619,2,No
12a_620,4,No
12a_621,4,No
12a_622,3,No
12a_623,3,No
12a_624,3,No
12a_625,3,No
12a_626,4,No
12a_627,4,No
12a_628,3,No
12a_629,4,No
12a_630,4,No
12a_631,3,No
12a_632,3,No
12a_633,3,No
12a_634,3,No
12a_635,3,No
12a_636,2,No
12a_637,4,No
12a_638,3,No
12a_639,4,No
12a_640,3,No
12a_641,4,No
12a_642,3,No
12a_643,3,No
12a_644,2,No
12a_645,4,No
12a_646,4,No
12a_647,4,No
12a_648,3,No
12a_649,4,No
12a_650,3,No
12a_651,4,No
12a_652,3,No
12a_653,2,No
12a_654,3,No
12a_655,3,No
12a_656,3,No
12a_657,4,No
12a_658,3,No
12a_659,3,No
12a_660,4,No
12a_661,3,No
12a_662,4,No
12a_663,3,No
12a_664,4,No
12a_665,3,No
12a_666,3,No
12a_667,4,No
12a_668,4,No
12a_669,3,No
12a_670,4,No
12a_671,4,No
12a_672,4,No
12a_673,4,No
12a_674,4,No
12a_675,4,No
12a_676,3,No
12a_677,3,No
12a_678,3,No
12a_679,2,No
12a_680,4,No
12a_681,4,No
12a_682,3,No
12a_683,4,No
12a_684,3,No
12a_685,3,No
12a_686,3,No
12a_687,3,No
12a_688,4,No
12a_689,3,No
12a_690,2,No
12a_691,2,No
12a_692,4,No
12a_693,4,No
12a_694,4,No
12a_695,4,No
12a_696,4,No
12a_697,4,No
12a_698,4,No
12a_699,4,No
12a_700,4,No
12a_701,4,No
12a_702,4,No
12a_703,4,No
12a_704,4,No
12a_705,4,No
12a_706,4,No
12a_707,4,No
12a_708,4,No
12a_709,4,No
12a_710,4,No
12a_711,4,No
12a_712,4,No
12a_713,4,No
12a_714,4,No
12a_715,3,No
12a_716,5,No
12a_717,4,No
12a_718,4,No
12a_719,3,No
12a_720,4,No
12a_721,3,No
12a_722,5,No
12a_723,4,No
12a_724,4,No
12a_725,3,No
12a_726,4,No
12a_727,3,No
12a_728,4,No
12a_729,3,No
12a_730,3,No
12a_731,3,No
12a_732,3,No
12a_733,3,No
12a_734,4,No
12a_735,2,No
12a_736,3,No
12a_737,4,No
12a_738,3,No
12a_739,4,No
12a_740,3,No
12a_741,3,No
12a_742,4,No
12a_743,2,No
12a_744,2,No
12a_745,2,No
12a_746,4,No
12a_747,4,No
12a_748,3,No
12a_749,3,No
12a_750,2,No
12a_751,3,No
12a_752,2,No
12a_753,2,No
12a_754,4,No
12a_755,4,No
12a_756,4,No
12a_757,4,No
12a_758,3,No
12a_759,4,No
12a_760,3,No
12a_761,3,No
12a_762,4,No
12a_763,3,No
12a_764,3,No
12a_765,4,No
12a_766,4,No
12a_767,2,No
12a_768,4,No
12a_769,3,No
12a_770,3,No
12a_771,3,No
12a_772,3,No
12a_773,2,No
12a_774,2,No
